country,happiness,gdp,family,liefeexpectancy,trust
Mauritania,4.374599933624268,8.233919143676758,1.1133235692977903,0.42518481612205505,0.12225763499736786
Sri Lanka,4.327000141143799,9.389969825744627,1.1949400901794434,0.7920367121696472,0.04944456368684769
Congo (Kinshasa),4.310999870300293,6.69425630569458,0.8330550193786621,0.2772120535373688,0.08146664500236511
Swaziland,4.30810022354126,9.1626739501953125,1.0648351907730105,0.2155858278274536,0.14676587283611298
Myanmar,4.308000087738037,8.680481910705566,1.0981782674789429,0.49544307589530945,0.18753035366535187
Comoros,4.288599967956543,7.833630084991455,0.7232328057289124,0.4373833239078522,0.10004853457212448
Togo,4.18720006942749,7.357711315155029,0.5476228594779968,0.34273117780685425,0.11482645571231842
Ethiopia,4.186200141906738,7.509385585784912,1.0011032819747925,0.4838462471961975,0.11743703484535216
Madagascar,4.165599822998047,7.281685829162598,0.8236943483352661,0.5006170272827148,0.0762486383318901
Egypt,4.151400089263916,9.31654167175293,0.9825395345687866,0.5969113111495972,0.09546179324388504
Sierra Leone,3.926399946212769,7.268803119659424,0.7479849457740784,0.20395396649837497,0.0479409359395504
Burundi,3.7753000259399414,6.492642402648926,0.40357527136802673,0.29521283507347107,0.21218682825565335
Zambia,3.759399890899658,8.224720001220703,0.8960372805595398,0.36359333992004395,0.08670523762702942
Haiti,3.7207999229431152,7.41132926940918,0.6466713547706604,0.37436673045158386,0.16193567216396332
Lesotho,3.6528000831604,7.960488319396973,1.0889400243759155,0.10093481093645096,0.0504838228225708
India,3.5732998847961426,8.849823951721191,0.6441986560821533,0.5405701398849487,0.10558798164129256
Malawi,3.538000106811523,7.062226295471191,0.5303680896759033,0.4461632966995239,0.1316339522600174
Yemen,3.527400016784668,7.759682655334473,1.1774771213531494,0.41500017046928406,0.08735212683677673
Botswana,3.4788999557495117,9.711203575134276,1.0856947898864746,0.49410173296928406,0.10178636759519576
Tanzania,3.4762001037597656,7.967665195465088,0.8726746439933777,0.4426778554916382,0.20388086140155792
Central African Republic,3.4758999347686768,6.625160217285156,0,0,0.0282647181302309
Rwanda,3.312299966812134,7.600104331970215,0.5228763222694397,0.5723832845687866,0.4855424761772156
Zimbabwe,3.2992000579833984,7.865711688995361,1.0478352308273315,0.37503761053085327,0.08092857897281647
South Sudan,2.8166000843048096,7.425359725952148,0.5532785058021545,0.208809033036232,0.11115679889917374
Afghanistan,2.5669000148773193,7.462860584259033,0.35643383860588074,0.2660515308380127,0.00122578535228967
